variable,count,mean,std,min,25%,50%,75%,max,missing_%
informal_share,2142.0,0.896,0.282,0.0,1.0,1.0,1.0,1.0,0.0
total_care_hours,2142.0,125.925,182.615,1.0,14.0,52.0,150.0,744.0,0.0
n_helpers,2142.0,1.697,1.016,1.0,1.0,1.0,2.0,8.0,0.0
adl_count,2089.0,2.263,1.913,0.0,1.0,2.0,4.0,6.0,2.5
iadl_count,2142.0,1.739,1.428,0.0,1.0,1.0,2.0,5.0,0.0
age,2142.0,72.372,12.332,50.0,62.0,72.0,82.75,101.0,0.0
years_school,2129.0,11.921,3.542,0.0,11.0,12.0,14.0,17.0,0.6
word_recall,1697.0,7.933,3.473,0.0,5.0,8.0,10.0,20.0,20.8
rate_memory,1808.0,3.47,0.988,1.0,3.0,4.0,4.0,5.0,15.6
n_children,2142.0,3.828,2.766,0.0,2.0,3.0,5.0,22.0,0.0
