feature,ols_abs_coef,shap_mean_abs,ols_rank,shap_rank,rank_gap
lives_alone,0.012503616147697308,0.03512638,14.0,1.0,13.0
total_care_hours,0.007435662283311389,0.03020188,20.0,2.0,18.0
lives_with_partner,0.06018108563326018,0.023670131,1.0,3.0,-2.0
age,0.024723291210792146,0.01290562,7.0,4.0,3.0
adl_count,0.027244448843037915,0.012356919,6.0,5.0,1.0
rate_memory,0.02262533766522854,0.011705985,9.0,6.0,3.0
race_black,0.01720454311831084,0.0075686476,11.0,7.0,4.0
lives_with_relative,0.043418637213318595,0.007356143,2.0,8.0,-6.0
n_children,0.006457068314804716,0.005493683,24.0,9.0,15.0
word_recall,0.009661002225825664,0.004760847,17.0,10.0,7.0
kids_within_10mi_missing,0.02347594392332619,0.00454194,8.0,11.0,-3.0
years_school,0.0041105193589754735,0.004101396,28.0,12.0,16.0
stroke,0.013618045722228533,0.0038822356,12.0,13.0,-1.0
nursing_home,0.03323006616766283,0.0028354635,5.0,14.0,-9.0
heart,0.005619286276085751,0.0027009128,27.0,15.0,12.0
self_rated_health,0.003982544839169424,0.0024897894,29.0,16.0,13.0
psych,0.013325724931298607,0.0021547377,13.0,17.0,-4.0
sep_divorced,0.007844987787692983,0.0020313202,18.0,18.0,0.0
iadl_count,0.000738423323546484,0.0015899211,33.0,19.0,14.0
female,0.005919830996371713,0.0015381637,26.0,20.0,6.0
diabetes,0.0037816283782375363,0.0013627389,30.0,21.0,9.0
kids_within_10mi,0.012172061789618238,0.0012470013,15.0,22.0,-7.0
hispanic,0.006645352202586914,0.0011931448,23.0,23.0,0.0
widowed,0.00783882773616656,0.0011852814,19.0,24.0,-5.0
rate_memory_missing,0.036170806830663635,0.00090027705,3.0,25.0,-22.0
race_other,0.0033227552722724764,0.00083824556,31.0,26.0,5.0
never_married,0.00699029706425915,0.00062246603,21.0,27.0,-6.0
proxy,0.03400544652809412,0.0003311709,4.0,28.0,-24.0
dementia_missing,0.020463035260864803,0.00018583279,10.0,29.0,-19.0
word_recall_missing,0.00689925212693489,0.00016365825,22.0,30.0,-8.0
adl_count_missing,0.0061365401062395495,0.00013029743,25.0,31.0,-6.0
dementia,0.001889842422462261,9.61442e-05,32.0,32.0,0.0
alzheimers,0.010266550646837175,7.9028985e-05,16.0,33.0,-17.0
