feature,unweighted_beta,weighted_beta,unweighted_p,weighted_p,abs_change,significance_flips
age,-0.013612440824280751,-0.005293962740271528,0.13059446887681914,0.5393347035057904,0.008318478084009224,False
female,0.005014344765395903,0.007554370081050896,0.49181321645847187,0.28111482775492863,0.002540025315654993,False
hispanic,-0.014753445888231832,-0.025084704745973914,0.07847302795837238,0.003708138920797426,0.010331258857742082,True
years_school,-0.007439502974680712,-0.007282775558751234,0.3411689773888932,0.35480957161337123,0.0001567274159294781,False
sep_divorced,-0.0011741927303921852,-0.01078740473591772,0.9166475644145953,0.3334672891829873,0.009613212005525534,False
widowed,0.0009591770604326054,-0.012935386954814283,0.9441847384006112,0.3444468906243068,0.013894564015246889,False
never_married,-0.012274893777998784,-0.016755555980373045,0.19223741324503316,0.08442745170202798,0.004480662202374261,False
lives_with_partner,0.0596983435814288,0.06348099403666302,0.006065135009835796,0.004267632458328892,0.003782650455234217,False
lives_with_relative,0.025935580282806518,0.03660038348777206,0.1416029940260211,0.04675576249190147,0.010664803204965542,True
lives_alone,-0.0234033086741363,-0.015547307406747923,0.19694422632645187,0.41247834334984024,0.007856001267388377,False
nursing_home,1.0216581754197904e-17,1.0588033843794526e-17,0.8519928603647448,0.8091288196529131,3.7145208959662167e-19,False
proxy,-0.023882534289968962,-0.020975776430502552,0.6375789931165114,0.7258136739632501,0.0029067578594664106,False
adl_count,-0.02321883707578952,-0.02188708350184897,0.0027258459616654627,0.003446504840882991,0.0013317535739405494,False
iadl_count,-0.0008230094018607031,-0.006993981479696328,0.9202337357798968,0.38437309003494236,0.0061709720778356245,False
self_rated_health,-0.0038308436724770883,0.0032968816866163105,0.6054927618011479,0.6374459242167355,0.007127725359093399,False
stroke,-0.007813381607900804,-0.011440397661135335,0.2623702866496588,0.09295624196583988,0.0036270160532345316,False
alzheimers,-0.009292859749979399,0.00709315123235775,0.8558619074130855,0.7965955620715091,0.01638601098233715,False
dementia,0.01079184470309512,0.016788756149424988,0.1573572103835466,0.023975178118866233,0.005996911446329868,True
psych,-0.015326922477522934,-0.012608747362717023,0.03631978200694141,0.07857628563153637,0.002718175114805911,True
diabetes,0.003852763297667195,-0.0008653981826136983,0.5775045750565994,0.8993573983324135,0.004718161480280893,False
heart,-0.010665279126692042,-0.00493126407108924,0.13239363191649528,0.4736703996888617,0.005734015055602802,False
word_recall,0.012061180596713149,0.004620903196655382,0.09924084032094872,0.5242365099718274,0.007440277400057767,False
rate_memory,0.025586603293571094,0.016796812759176022,0.0004470944031552764,0.015424973233624793,0.008789790534395072,False
n_children,-0.0013750363775982717,0.009301621723037407,0.8529614984511749,0.22025830778451502,0.010676658100635679,False
kids_within_10mi,0.010994806826984978,0.013203844507607743,0.12180647060013745,0.058398555549913314,0.0022090376806227652,False
total_care_hours,-0.011286318141018908,-0.01201690759399537,0.13425678370628039,0.10233085006475051,0.0007305894529764621,False
race_black,-0.005694923611023022,0.0012156869115119342,0.4611006605203337,0.8875871073885745,0.0069106105225349565,False
race_other,0.008910085981458647,0.012998699668062613,0.23940025990254282,0.08628813051376755,0.004088613686603966,False
adl_count_missing,0.0011142822403979683,0.0005405888124722326,0.8716314078087568,0.9299355540422707,0.0005736934279257358,False
dementia_missing,0.01780838000340662,0.008046957428833754,0.7277717102581903,0.7760527144455053,0.009761422574572867,False
word_recall_missing,0.0003640688529947915,0.001793677016514443,0.9755070964493386,0.8567343104355305,0.0014296081635196516,False
rate_memory_missing,0.024310693232505648,0.021717366744181815,0.6305737534406032,0.7161276055792771,0.0025933264883238327,False
kids_within_10mi_missing,-0.016692047000248615,-0.012287343698531215,0.0283137322550322,0.0834329901122624,0.0044047033017174005,True
