feature,mean_abs_shap
lives_alone,0.029817114
total_care_hours,0.026101025
lives_with_partner,0.02597078
rate_memory,0.01293878
adl_count,0.011195062
age,0.008863717
net_top_helper_share,0.0066640903
word_recall,0.005756365
n_children,0.0053900983
lives_with_relative,0.004456904
heart,0.0043206587
years_school,0.0041573355
widowed,0.0030838987
net_hhi_hours,0.0030218714
psych,0.0029521002
female,0.0027165667
race_black,0.00247383
never_married,0.002282295
nursing_home,0.0021720338
kids_within_10mi_missing,0.0021067027
iadl_count,0.0017686863
kids_within_10mi,0.0017658549
stroke,0.0015186769
self_rated_health,0.0015138868
word_recall_missing,0.0012330954
diabetes,0.0011446496
rate_memory_missing,0.00086217636
hispanic,0.0006363465
sep_divorced,0.000533483
net_size,0.00040820322
race_other,0.00039507324
proxy,0.00030560844
dementia,0.0002698326
dementia_missing,6.743816e-05
alzheimers,3.3817214e-05
adl_count_missing,0.0
