focal,moderator,interaction_beta,p_value,ci_low,ci_high,n,significant_5pct
total_care_hours,lives_alone,-0.03214811451852429,0.0052955268765277124,-0.05474431144185188,-0.009551917595196708,2142,True
iadl_count,lives_alone,0.018183155884074213,0.008858780720694728,0.004567520953643295,0.03179879081450513,2142,True
total_care_hours,lives_with_partner,0.014845067232812639,0.009060201975252062,0.0036962874642725765,0.025993847001352703,2142,True
iadl_count,lives_with_partner,-0.01157847403443942,0.04761019366446053,-0.02303497309248687,-0.00012197497639197113,2142,True
n_children,lives_alone,0.01538008480771291,0.048170648644582766,0.00012373362180440918,0.03063643599362141,2142,True
dementia,lives_alone,0.011416621711553769,0.05883124726187014,-0.0004260520949117205,0.02325929551801926,2142,False
word_recall,lives_with_partner,-0.006303688532901946,0.29818159531752997,-0.018179606982178416,0.0055722299163745255,2142,False
word_recall,lives_alone,0.007214655868175446,0.34816652165926754,-0.007858031831212357,0.02228734356756325,2142,False
adl_count,lives_alone,0.006498753402493438,0.34863233138681693,-0.007091414496158205,0.02008892130114508,2142,False
n_children,lives_with_partner,-0.005445856867437525,0.38129605698414537,-0.01763723564406921,0.00674552190919416,2142,False
stroke,lives_with_partner,0.00360633974213412,0.5453482708751108,-0.008081715522529254,0.015294395006797494,2142,False
stroke,lives_alone,-0.0019553286267965974,0.7864953173453659,-0.01610400788674785,0.012193350633154656,2142,False
dementia,lives_with_partner,-0.0009629271684769821,0.8499241606440833,-0.010937298371922477,0.009011444034968511,2142,False
adl_count,lives_with_partner,4.473076370186595e-05,0.9939979233103343,-0.011609639974960924,0.011699101502364655,2142,False
